is_manipulated,manipulation_angle,online_feedback,endpoint_feedback,was_restarted,is_judged,label,too_slow,manipulation_type,rt,target_angle,reach_angle,diff_angle,target_dist,trial,id,exp_version,judgement_rt,judgement_decision_time,judgement_loc,judgement_width,judgement_score
0,0,1,1,0,1,BASELINE_AIM,0,NONE,0.472518921,-45,-44.37335241,0.626647594,70,37,msl000394,v2,0.422770262,1.550779343,45,14.30220337,676
0,0,1,1,0,1,BASELINE_AIM,1,NONE,0.574798107,-135,-136.2607409,-1.260740926,70,38,msl000394,v2,0.24726963,1.431279659,-45,10.63233643,676
0,0,1,1,0,1,BASELINE_AIM,0,NONE,0.354847908,135,139.0443096,4.044309634,70,39,msl000394,v2,0.302053928,1.350059748,-135,14.63582764,762
0,0,1,1,0,1,BASELINE_AIM,0,NONE,0.335934162,180,170.8737053,-9.126294733,70,40,msl000394,v2,0.149990797,1.374037743,-90,11.9668335,762
0,0,1,1,0,1,BASELINE_AIM,0,NONE,0.258560896,0,-19.14422166,-19.14422166,70,41,msl000394,v2,0.394207478,1.410195589,90,19.97381592,762
0,0,1,1,0,1,BASELINE_AIM,1,NONE,0.503834963,135,133.3953725,-1.604627468,70,42,msl000394,v2,0.394478083,1.458441019,-135,20.64106445,762
0,0,1,1,0,1,BASELINE_AIM,0,NONE,0.299500942,90,87.0629126,-2.937087404,70,43,msl000394,v2,0.170374632,1.34636569,-180,11.29958496,851
0,0,1,1,0,1,BASELINE_AIM,0,NONE,0.398199081,-45,-52.59099281,-7.590992809,70,44,msl000394,v2,0.713464022,2.00148201,45,5.96159668,851
0,0,1,1,0,1,BASELINE_AIM,0,NONE,0.48157692,180,179.9783401,-0.021659856,70,45,msl000394,v2,0.296282768,1.560290813,-90,10.96596069,851
0,0,1,1,0,1,BASELINE_AIM,0,NONE,0.421103954,-90,-95.87919272,-5.879192717,70,46,msl000394,v2,0.229077578,1.469070673,0,7.963342285,944
0,0,1,1,0,1,BASELINE_AIM,0,NONE,0.424149036,-135,-152.1677108,-17.16771083,70,47,msl000394,v2,0.074461937,1.282469988,-45,13.63495483,944
0,0,1,1,0,1,BASELINE_AIM,0,NONE,0.253108025,45,47.3349825,2.334982496,70,48,msl000394,v2,0.110227108,1.254226923,135,13.63495483,1031
