is_manipulated,manipulation_angle,online_feedback,endpoint_feedback,was_restarted,is_judged,label,too_slow,manipulation_type,rt,target_angle,reach_angle,diff_angle,target_dist,trial,id,exp_version,judgement_rt,judgement_decision_time,judgement_loc,judgement_width,judgement_score
0,0,1,1,0,1,BASELINE_AIM,0,NONE,0.155943155288696,-135,-144.576148637657,-9.57614863765718,70,32,msl000514,v3,0.321000576019287,2.15307354927063,-45,14.3020809173583,1035
1,-60,1,1,0,1,PERTURBATION,0,ROTATION,0.34837818145752,90,89.5039576746698,-0.496042325330251,70,33,msl000514,v3,0.34534764289856,1.76125764846802,-180,7.62957267761217,1035
1,-60,1,1,0,1,PERTURBATION,0,ROTATION,0.592458963394165,-90,-46.8216421084061,43.1783578915939,70,34,msl000514,v3,13.1907091140747,18.8306860923767,36.8656080245972,77.0236583709715,1058
1,-60,1,1,0,1,PERTURBATION,0,ROTATION,0.27081298828125,-135,-73.8976794361739,61.1023205638261,70,35,msl000514,v3,0.859555244445801,6.55566620826721,5.04381179809558,71.0184009552001,1087
1,-60,1,1,0,1,PERTURBATION,0,ROTATION,0.201937913894653,45,92.4902475648234,47.4902475648234,70,36,msl000514,v3,5.7913818359375,11.5194456577301,183.375684738163,59.3415115356446,1128
1,-60,1,1,0,1,PERTURBATION,0,ROTATION,0.602821111679077,0,65.3202424070597,65.3202424070597,70,37,msl000514,v3,1.08841180801392,6.62451863288879,151.387075805665,50,1178
1,-60,1,1,0,1,PERTURBATION,0,ROTATION,0.390302181243897,135,-161.095526832054,63.904473167946,70,38,msl000514,v3,3.7350127696991,8.1430447101593,-74.9474258422856,50,1178
1,-60,1,1,0,1,PERTURBATION,0,ROTATION,0.148221969604492,180,-174.107957567858,5.89204243214215,70,39,msl000514,v3,0.6576828956604,4.2977397441864,-35.7858705520639,50,1178
1,-60,1,1,0,1,PERTURBATION,0,ROTATION,0.532755136489868,-45,-46.8240259442543,-1.82402594425428,70,40,msl000514,v3,1.25818657875061,8.06620669364929,-131.321030235289,50,1178
1,45,1,1,0,1,PERTURBATION,0,ROTATION,0.824522972106934,-135,-131.519396934956,3.48060306504439,70,41,msl000514,v3,1.78751182556152,4.84343481063843,-45,100,1178
1,45,1,1,0,1,PERTURBATION,0,ROTATION,0.178605079650879,-90,-136.534014302754,-46.5340143027543,70,42,msl000514,v3,2.63596534729004,6.41992545127869,-42.5372400283813,60.3423877716065,1218
1,45,1,1,0,1,PERTURBATION,0,ROTATION,0.200911045074463,0,2.61473162194483,2.61473162194483,70,43,msl000514,v3,1.30627489089966,3.55426692962647,90,98.709310150146,1220
1,45,1,1,0,1,PERTURBATION,0,ROTATION,0.388924121856689,90,152.263265944255,62.2632659442551,70,44,msl000514,v3,0.795075416564941,5.29113936424255,-119.780613136288,60.6760131835938,1220
1,45,1,1,0,1,PERTURBATION,0,ROTATION,0.361166000366211,180,174.11179176534,-5.88820823465974,70,45,msl000514,v3,1.05277228355408,5.71674823760986,-149.885761451722,67.0148960113526,1220
1,45,1,1,0,1,PERTURBATION,0,ROTATION,0.342459917068481,45,37.4106793584986,-7.58932064150136,70,46,msl000514,v3,7.36704635620117,13.3671002388001,134.666374588013,100,1220
1,45,1,1,0,1,PERTURBATION,0,ROTATION,1.99114513397217,-45,-45.0488789534877,-0.0488789534876446,70,47,msl000514,v3,4.94570899009705,10.4497680664063,88.7049289703362,50,1220
1,45,1,1,0,1,PERTURBATION,0,ROTATION,0.318136930465698,135,132.557211916806,-2.44278808319359,70,48,msl000514,v3,0.506106376647949,4.6500883102417,-134.165936470032,92.3704273223873,1228
