ha,ha_sem,conf,conf_sem,rot,confpred,confpred_sem
0.0799166666666671,0.473370672070342,0,0,0,NaN,NaN
0.57333333333333,0.740145081417079,0,0,0,NaN,NaN
1.353375,0.57741630867473,0,0,0,NaN,NaN
0.293250000000008,0.664605580019272,0,0,0,NaN,NaN
0.191208333333333,0.517221779790579,0,0,0,NaN,NaN
0.31758333333333,0.757376533480001,0,0,0,NaN,NaN
0.261249999999994,0.647494021711532,0,0,0,NaN,NaN
1.18995833333333,0.711212978148484,0,0,0,NaN,NaN
-0.478083333333337,0.709627361684772,0,0,0,NaN,NaN
-0.448083333333335,0.509351804323528,0,0,0,NaN,NaN
0.845999999999997,0.652660927459186,59.0833333333333,5.11884719623056,0,NaN,NaN
-1.147125,1.02632660054552,61.0833333333333,4.96798324150985,0,74.7294107623279,3.11879293066551
-1.08558333333334,0.813726151538752,61.3333333333333,4.38982134043815,0,72.7963776602296,3.16174142751073
-0.429166666666675,0.801465125016902,60.8333333333333,4.15098498292904,0,71.0884171174004,3.25435892593961
0.259500000000003,0.903324949156236,61.3913043478261,3.87969614283616,0,70.288860846296,3.11987601836348
-0.375541666666664,0.977167151120455,62.75,3.86888835474084,0,69.7599100925856,3.06871270577823
-0.66691666666666,1.11845051965452,63.5,4.2703052872572,0,68.6986624750165,3.25501627469135
-0.145374999999998,0.697949880401549,63.1666666666667,4.26804212430937,0,68.7874467419474,3.10777923986884
-0.344791666666676,0.817745615230595,64.7826086956522,4.50040255848361,0,68.7849001748358,3.02737409261079
-1.257125,0.704508190858927,66,4.08425751150559,0,68.2664128983718,3.10726341993771
-1.10908333333333,0.826141601270775,66.8695652173913,3.68211501918296,0,67.5378045328202,3.12996175532384
-1.73570833333334,0.995299808227576,62.695652173913,4.46129600624482,0,67.6899827995962,3.07912052991536
-0.0703333333333352,0.692924964219538,63.6521739130435,4.04642036701098,0,66.0433545729322,3.24285521048584
-0.975958333333329,0.870120803038888,66.9166666666667,3.68305789513784,0,66.572670402028,3.01212283065539
-0.529541666666668,0.937733916671057,65.25,4.18557304787892,0,65.8432633946807,3.17436686404582
-0.431166666666662,0.841747939109548,64.6666666666667,4.46835356422018,0,65.7380133292287,3.12113752343005
-0.926500000000005,0.898593304858339,66,4.33890388883203,0,65.6206179664755,3.10237733092402
-0.924958333333334,0.897153993452627,63,4.73041346968771,0,66.0611389704596,3.06440662763957
-0.769250000000003,0.749374839086902,66.8333333333333,4.87364498696173,0,65.2619023436808,3.11287382509023
-0.111916666666667,0.810978229118306,66,4.92111687570493,0,65.1207259505968,3.17551089275347
1.21791666666667,0.665061503957261,66.4166666666667,4.37876821847322,0.33,66.0689631765909,3.08502279527058
1.33504166666667,0.84943985268547,67.3333333333333,4.11724310932158,0.66,65.0176579359961,3.08703939542569
0.5755,0.697123606302188,64.6666666666667,4.7022453265553,0.99,62.3360825200786,3.32799590834831
0.199583333333336,1.0671036954296,61.3333333333333,4.87178607051954,1.32,61.6732028377434,3.3717863244543
0.497249999999997,0.819309945708997,60.0869565217391,4.72016669721938,1.65,59.9290282380621,3.54883618105729
1.35733333333333,0.876209081135738,61.3333333333333,4.63394324001609,1.98,60.7974824745091,3.21020961977836
2.21345833333334,0.725214493456054,58.5217391304348,4.81823775043977,2.31,61.0563360772922,3.1454615405229
1.43275,0.818266168581425,56.25,5.54077441874512,2.64,60.7115840294699,3.22005654888394
2.17,0.938920741820252,57.0833333333333,5.12309231609455,2.97,60.4770616965467,3.21594659167164
-0.148083333333327,0.81029893373798,62.9166666666667,4.2203426721691,3.3,60.6907869486429,3.09535140788819
1.118,0.948800432582936,61.6666666666667,3.89475058580185,3.63,59.8297018790761,3.22853033623875
0.941333333333333,0.980596187454468,59.5833333333333,4.70888639819556,3.96,58.9271271763295,3.30224738865939
2.62475,0.796090074490882,59.8333333333333,3.9616214413349,4.29,59.3487256101368,3.37281907334248
0.838958333333341,0.888965641156283,58.4166666666667,4.56670236947855,4.62,57.9350091817505,3.5119979384676
1.80295833333334,0.882300136417093,59.3333333333333,4.138309300274,4.95,56.9641859953978,3.60544843577629
1.662,1.0029565966594,56.9166666666667,4.23747800074092,5.28,57.4872836498315,3.55340427180702
1.86216666666666,1.05348319196312,59,4.40684579433777,5.61,57.3863985177695,3.57635829428019
2.35358333333333,0.848100144305218,62.6086956521739,4.53009261830647,5.94,57.7654819208763,3.46342105572051
2.63995833333333,0.601126811717042,55.0434782608696,4.18487457763868,6.27,56.6687700865983,3.6052547153457
4.37729166666667,1.04406977437578,55.4782608695652,5.15989398426496,6.6,56.0625979114873,3.63939052485762
3.22916666666667,0.67421549598341,55.6666666666667,4.7953278388579,6.93,56.0734740859576,3.60749579315529
4.45995833333333,1.11580665478682,60.6666666666667,4.07478401075438,7.26,56.6397996687108,3.43054599054
4.49066666666666,1.0820576859617,56.8333333333333,3.70842492966181,7.59,56.727936817499,3.38138565199726
6.31775,1.00368168320223,56.3333333333333,3.84983844318789,7.92,54.857422929345,3.44498285308594
3.7535,1.02764053307438,54,4.3455791295309,8.25,54.0642022577321,3.59595863408942
4.77516666666667,0.827071114975642,49.6666666666667,4.33500525160016,8.58,53.7041652336203,3.66223160492722
5.77416666666667,0.780983386197752,54.1739130434783,4.11374827878247,8.91,53.5379634262337,3.65083737387107
6.20141666666667,0.908034856391926,53.6666666666667,4.14705529657494,9.24,53.2917679356398,3.66973245592867
7.38325,0.725739653308305,55.6666666666667,4.08366606156961,9.57,53.0497768177824,3.60275105908513
